Date,State
20220623,no
20220624,no
20220625,no
20220626,no
20220627,no
20220628,no
20220629,no
20220706,yes
20220707,yes
20220708,yes
20220709,yes
20220710,yes
20220711,yes
20220712,yes
20220713,yes
20220714,yes
20220715,yes
20220716,yes
20220717,yes
20220809,yes
20220810,yes
20220811,yes
20220812,yes
20220813,yes
20220814,yes
20220815,yes
20220816,yes
20220817,yes
20220818,yes
20220819,yes
20220820,yes
20220821,yes
20220822,no
20220823,no
20220824,no
20220825,no
20220826,no
20220827,no
20220828,no
20220829,no
