Date,Exist
20220525,yes
20220526,yes
20220527,yes
20220528,yes
20220529,yes
20220530,yes
20220531,yes
20220601,yes
20220602,yes
20220603,yes
20220604,yes
20220605,yes
20220606,yes
20220607,yes
20220608,yes
20220609,yes
20220610,yes
20220611,yes
20220612,yes
20220613,yes
20220614,yes
20220615,yes
20220616,yes
20220617,yes
20220618,yes
20220619,yes
20220620,yes
20220621,yes
20220622,yes
20220623,yes
20220624,yes
20220625,yes
20220626,yes
20220627,yes
20220628,yes
20220629,yes
20220630,yes
20220701,yes
20220702,yes
20220703,yes
20220704,yes
20220705,yes
20220706,yes
20220707,yes
20220708,yes
20220709,yes
20220710,yes
20220711,yes
20220712,yes
20220713,yes
20220714,yes
20220715,yes
20220716,yes
20220717,yes
20220718,yes
20220719,yes
20220720,yes
20220721,yes
20220722,yes
20220723,yes
20220724,yes
20220725,yes
20220726,no
20220727,no
20220728,no
20220729,no
20220730,no
20220731,no
20220801,yes
20220802,yes
20220803,yes
20220804,no
20220805,no
20220806,no
20220807,no
20220808,no
20220809,no
20220810,yes
20220811,yes
20220812,yes
20220813,yes
20220814,yes
20220815,yes
20220816,yes
20220817,yes
20220818,yes
20220819,yes
20220820,yes
20220821,yes
20220822,yes
20220823,yes
20220824,yes
20220825,yes
20220826,yes
20220827,yes
20220828,yes
20220829,yes
20220830,yes
20220831,yes
20220901,yes
