Date,Exist
20220109,no
20220110,no
20220112,no
20220117,no
20220131,no
20220203,no
20220215,no
20220216,no
20220223,no
20220225,no
20220303,no
20220307,no
20220308,no
20220316,no
20220318,no
20220409,no
20220416,no
20220419,no
20220425,no
20220430,no
20220510,no
20220512,no
20220518,no
20220519,no
20220520,no
20220521,no
20220522,no
20220523,no
20220524,no
20220525,no
20220526,no
20220527,no
20220528,no
20220529,no
20220530,no
20220531,no
20220601,no
20220602,no
20220603,no
20220604,no
20220605,no
20220606,no
20220607,no
20220608,no
20220609,no
20220610,no
20220611,no
20220612,no
20220613,no
20220614,no
20220615,no
20220616,no
20220617,no
20220618,no
20220619,no
20220620,no
20220621,no
20220622,no
20220623,no
20220624,no
20220625,no
20220626,no
20220627,no
20220628,no
20220629,no
20220630,no
20220701,no
20220702,no
20220703,no
20220704,no
20220705,no
20220706,no
20220707,no
20220708,no
20220709,no
20220710,no
20220711,no
20220712,no
20220713,no
20220714,no
20220715,no
20220716,no
20220717,no
20220718,no
20220719,no
20220720,no
20220721,no
20220722,no
20220723,no
20220724,no
20220725,no
20220726,no
20220727,no
20220728,no
20220729,no
20220730,no
20220731,no
20220801,no
20220802,no
20220803,no
20220804,no
20220805,no
20220806,no
20220807,no
20220808,no
20220809,no
20220810,no
20220811,no
20220812,no
20220813,no
20220814,no
20220815,no
20220816,no
20220817,no
20220818,no
20220819,no
20220820,no
20220821,no
20220822,no
20220823,no
20220824,no
20220825,no
20220826,no
20220827,no
20220828,no
20220829,no
20220830,no
20220831,no
20220901,no
20220902,yes
20220903,yes
20220904,yes
20220905,yes
20220906,yes
20220907,yes
20220908,yes
20220909,yes
20220910,yes
20220911,yes
20220912,yes
20220913,yes
20220914,yes
20220915,yes
20220916,yes
20220917,yes
20220918,yes
20220919,yes
20220920,yes
20220921,yes
20220922,yes
20220923,yes
20220924,yes
20220925,yes
20220926,yes
20220927,yes
20220928,yes
20220929,yes
20220930,yes
20221001,yes
20221002,yes
20221003,yes
20221004,yes
20221005,yes
20221006,yes
20221007,yes
20221008,yes
20221009,yes
20221010,yes
20221011,yes
20221012,yes
20221013,yes
20221014,yes
20221015,yes
20221016,yes
20221017,yes
20221018,yes
20221019,yes
20221020,yes
20221021,yes
20221022,yes
20221023,yes
20221024,yes
20221025,yes
20221026,yes
20221027,yes
20221028,yes
20221029,yes
20221030,yes
20221031,yes
20221101,yes
20221102,yes
20221103,yes
20221104,yes
20221105,yes
20221106,yes
20221107,yes
20221108,yes
20221109,yes
20221110,yes
20221111,yes
20221112,yes
20221113,yes
20221114,yes
20221115,yes
20221116,yes
20221117,yes
20221118,yes
20221119,yes
20221120,yes
20221121,yes
20221122,yes
20221123,yes
20221124,yes
20221125,yes
20221126,yes
20221127,yes
20221128,yes
20221129,yes
20221130,yes
20221201,yes
20221202,yes
20221203,yes
20221204,yes
20221205,yes
20221206,yes
20221207,yes
20221208,yes
20221209,yes
20221210,yes
20221211,yes
20221212,yes
20221213,yes
20221214,yes
20221215,yes
20221216,yes
20221217,yes
20221218,yes
20221219,yes
20221220,yes
20221221,yes
20221222,yes
20221223,yes
20221224,yes
20221225,yes
20221226,yes
20221227,yes
20221228,yes
20221229,yes
20221230,yes
20221231,yes
20230101,yes
20230102,yes
20230103,yes
20230104,yes
20230105,yes
20230106,yes
20230107,yes
20230108,yes
20230109,yes
20230110,yes
20230111,yes
20230112,yes
20230113,yes
20230114,yes
20230115,yes
20230116,yes
20230117,yes
20230118,yes
20230119,yes
20230120,yes
20230121,yes
20230122,yes
20230123,yes
20230124,yes
20230125,yes
20230126,yes
20230127,yes
20230128,yes
20230129,yes
20230130,yes
20230131,yes
20230201,yes
20230202,yes
20230203,yes
20230204,yes
20230205,yes
20230206,yes
20230207,yes
20230208,yes
20230209,yes
20230210,yes
20230211,yes
20230212,yes
20230213,yes
20230214,yes
20230215,yes
20230216,yes
20230217,yes
20230218,yes
20230219,yes
20230220,yes
20230221,yes
20230222,yes
20230223,yes
20230224,yes
20230225,yes
20230226,yes
20230227,yes
20230228,yes
20230301,yes
20230302,yes
20230303,yes
20230304,yes
20230305,yes
20230306,yes
20230307,yes
20230308,yes
20230309,yes
20230310,yes
20230311,yes
20230312,yes
20230313,yes
20230314,yes
20230315,yes
20230316,yes
20230317,yes
20230318,yes
20230319,yes
20230320,yes
20230321,yes
20230322,yes
20230323,yes
20230324,yes
20230325,yes
20230326,yes
20230327,yes
20230328,yes
20230329,yes
20230330,yes
20230331,yes
20230401,yes
20230402,yes
20230403,yes
20230404,yes
20230405,yes
20230406,yes
20230407,yes
20230408,yes
20230409,yes
20230410,yes
20230411,yes
20230412,yes
20230413,yes
20230414,yes
20230415,yes
20230416,yes
20230417,yes
20230418,yes
20230419,yes
20230420,yes
20230421,yes
20230422,yes
20230423,yes
20230424,yes
20230425,yes
20230426,yes
20230427,yes
20230428,yes
20230429,yes
20230430,yes
20230501,yes
20230502,yes
20230503,yes
20230504,yes
20230505,yes
20230506,yes
20230507,yes
20230508,yes
20230509,yes
20230510,yes
20230511,yes
20230512,yes
20230513,yes
20230514,yes
20230515,yes
20230516,yes
20230517,yes
